oecd_names,1.1 Mathematics,1.2 Computer and information sciences,1.3 Physical sciences,1.4 Chemical sciences,1.5 Earth and related environmental sciences,1.6 Biological sciences,1.7 Other Natural sciences,2.1 Civil engineering,2.2 Electrical engineering; electronic engineering; information engineering,2.3 Mechanical engineering,2.4 Chemical engineering,2.5 Materials engineering,2.6 Medical engineering,2.7 Environmental engineering,2.8 Environmental biotechnology,2.9 Industrial Biotechnology,2.11 Other engineering and technologies,3.1 Basic medicine,3.2 Clinical medicine,3.3 Health sciences,4.1 Agriculture forestry and fisheries,4.2 Animal and dairy science,4.3 Veterinary science,4.5 Other agricultural sciences,5.1 Psychology,5.2 Economics and business,5.3 Educational sciences,5.4 Sociology,5.5 Law,5.6 Political Science,5.7 Social and economic geography,5.8 Media and communications,5.9 Other social sciences,6.1 History and archaeology,6.2 Languages and literature,6.3 Philosophy ethics and religion,6.4 Arts and music,6.5 Other humanities
1.1 Mathematics,0,0.213980325,0.335680557,0.462115437,0.442727571,0.558918164,0.502570949,0.306756006,0.276917216,0.25817248,0.402668208,0.46293339,0.465513806,0.34473494,0.57697166,0.581372603,0.265455143,0.608713279,0.603381012,0.544331535,0.566871061,0.648916607,0.589060207,0.534311715,0.500943121,0.392664237,0.612225367,0.511632439,0.574657159,0.57512569,0.493161475,0.535034951,0.538663083,0.558637824,0.563399966,0.549873373,0.560733365,0.572953799
1.2 Computer and information sciences,0.213980325,0,0.39749357,0.498798229,0.426354039,0.540554025,0.468264957,0.236211877,0.120610034,0.270162074,0.406480922,0.497011028,0.439706503,0.299314461,0.548062028,0.575020717,0.207741413,0.591370003,0.592160483,0.50463999,0.548968413,0.645393894,0.590094808,0.520348383,0.440808859,0.296560399,0.526363275,0.441844496,0.51865824,0.500981966,0.391002549,0.343303988,0.458881979,0.497061574,0.494808954,0.495282343,0.474057247,0.507151482
1.3 Physical sciences,0.335680557,0.39749357,0,0.24101704,0.279241125,0.445885178,0.387405296,0.280298111,0.259655097,0.170746883,0.249414665,0.167318221,0.355797159,0.206952678,0.481329108,0.381014524,0.141115953,0.506955625,0.562191634,0.501767711,0.452821214,0.559211241,0.5102578,0.403421098,0.467861086,0.448133268,0.637365648,0.516176762,0.577351798,0.569847081,0.486438452,0.585793671,0.533551189,0.543023446,0.556412779,0.600382258,0.543930162,0.567389752
1.4 Chemical sciences,0.462115437,0.498798229,0.24101704,0,0.344414387,0.381563293,0.372513887,0.359560625,0.419677843,0.320113678,0.199176135,0.198252067,0.342413919,0.275491455,0.383423743,0.289216122,0.223660177,0.453587425,0.552583546,0.500109249,0.442109058,0.525246027,0.47424768,0.302289211,0.513535999,0.531344207,0.661547613,0.563671759,0.634027639,0.638501177,0.56208079,0.632561808,0.577331344,0.597482939,0.596847167,0.657729106,0.594230628,0.618980174
1.5 Earth and related environmental sciences,0.442727571,0.426354039,0.279241125,0.344414387,0,0.345698727,0.324365009,0.207215568,0.376869654,0.246150565,0.251027564,0.314177672,0.330666138,0.132727621,0.408366256,0.45662422,0.232503787,0.445370736,0.497972282,0.387154385,0.244502108,0.450302852,0.396171235,0.293288439,0.402581335,0.37896064,0.591123808,0.425044107,0.532415647,0.517671587,0.358977701,0.538225139,0.448613461,0.431945867,0.512578442,0.577268477,0.497403342,0.507842547
1.6 Biological sciences,0.558918164,0.540554025,0.445885178,0.381563293,0.345698727,0,0.04585348,0.440026786,0.512528657,0.448902381,0.430218144,0.459332042,0.238018582,0.37637319,0.095023996,0.360303544,0.382884508,0.155448823,0.371414549,0.358711115,0.316472049,0.399780614,0.284836607,0.288305378,0.412863429,0.495567454,0.622493941,0.47388859,0.574759813,0.587243826,0.493186549,0.606516587,0.512398284,0.518953829,0.538184421,0.610821192,0.56892702,0.558551265
1.7 Other Natural sciences,0.502570949,0.468264957,0.387405296,0.372513887,0.324365009,0.04585348,0,0.37931988,0.436296703,0.383231053,0.402123467,0.422358566,0.160310828,0.32278136,0.121896539,0.31601823,0.320329197,0.092209017,0.279444573,0.278915842,0.365353646,0.41691089,0.270147577,0.302727044,0.345530339,0.435182177,0.576155379,0.413265352,0.521325205,0.541821348,0.444915598,0.553575051,0.46315479,0.480259197,0.491241516,0.56363512,0.52380839,0.51839744
2.1 Civil engineering,0.306756006,0.236211877,0.280298111,0.359560625,0.207215568,0.440026786,0.37931988,0,0.208295152,0.116673632,0.21171781,0.286526577,0.309302376,0.100313322,0.44695838,0.433953859,0.138419037,0.481590816,0.507007752,0.396694727,0.354482136,0.502753037,0.457501743,0.335950248,0.374615877,0.278625534,0.527088062,0.40644917,0.499653308,0.485523904,0.340880042,0.432033494,0.404601599,0.481967955,0.504324427,0.541089397,0.454636945,0.517467096
2.2 Electrical engineering; electronic engineering; information engineering,0.276917216,0.120610034,0.259655097,0.419677843,0.376869654,0.512528657,0.436296703,0.208295152,0,0.186923457,0.335460301,0.363771016,0.38248499,0.222325714,0.51584944,0.485853028,0.130240795,0.5550265,0.577072532,0.500490843,0.503977011,0.598957219,0.553229926,0.464523383,0.455544972,0.347968461,0.582060822,0.482733988,0.547708918,0.533129929,0.42583943,0.449356105,0.492390597,0.529787509,0.532347176,0.559099337,0.493781125,0.542295942
2.3 Mechanical engineering,0.25817248,0.270162074,0.170746883,0.320113678,0.246150565,0.448902381,0.383231053,0.116673632,0.186923457,0,0.169474189,0.218741473,0.300671271,0.104893241,0.45583242,0.410028162,0.093128729,0.491994757,0.525148819,0.44974998,0.41634376,0.525822905,0.479016848,0.361217415,0.419320182,0.358126718,0.581950856,0.470599508,0.547778402,0.540896137,0.427724757,0.507848307,0.477826105,0.523296097,0.531676857,0.572617379,0.503427732,0.549542234
