dc_arxiv_names,oecd_names
Arts and Humanities,6.4 Arts and music
Arts and Humanities: African Languages and Societies,6.2 Languages and literature
Arts and Humanities: Africana Studies,6.4 Arts and music
Arts and Humanities: Africana Studies: Hip Hop Studies,6.4 Arts and music
Arts and Humanities: American Studies,6.4 Arts and music
Arts and Humanities: American Studies: American Film Studies,6.4 Arts and music
Arts and Humanities: American Studies: American Literature,6.2 Languages and literature
Arts and Humanities: American Studies: American Material Culture,6.4 Arts and music
Arts and Humanities: American Studies: American Popular Culture,6.4 Arts and music
Arts and Humanities: American Studies: Other American Studies,6.4 Arts and music
Arts and Humanities: Appalachian Studies,6.4 Arts and music
Arts and Humanities: Arabic Language and Literature,6.2 Languages and literature
Arts and Humanities: Arabic Studies,6.2 Languages and literature
Arts and Humanities: Art and Design,6.4 Arts and music
Arts and Humanities: Art and Design: Art and Materials Conservation,6.4 Arts and music
Arts and Humanities: Art and Design: Book and Paper,6.4 Arts and music
Arts and Humanities: Art and Design: Ceramic Arts,6.4 Arts and music
Arts and Humanities: Art and Design: Fashion Design,6.4 Arts and music
"Arts and Humanities: Art and Design: Fiber, Textile, and Weaving Arts",6.4 Arts and music
Arts and Humanities: Art and Design: Furniture Design,6.4 Arts and music
Arts and Humanities: Art and Design: Game Design,6.4 Arts and music
Arts and Humanities: Art and Design: Glass Arts,6.4 Arts and music
Arts and Humanities: Art and Design: Graphic Design,6.4 Arts and music
Arts and Humanities: Art and Design: Illustration,6.4 Arts and music
Arts and Humanities: Art and Design: Industrial and Product Design,6.4 Arts and music
Arts and Humanities: Art and Design: Interdisciplinary Arts and Media,6.4 Arts and music
Arts and Humanities: Art and Design: Interior Design,6.4 Arts and music
Arts and Humanities: Art and Design: Metal and Jewelry Arts,6.4 Arts and music
Arts and Humanities: Art and Design: Printmaking,6.4 Arts and music
Arts and Humanities: Art and Design: Sculpture,6.4 Arts and music
Arts and Humanities: Art Practice,6.4 Arts and music
Arts and Humanities: Audio Arts and Acoustics,6.4 Arts and music
Arts and Humanities: Australian Studies,6.4 Arts and music
Arts and Humanities: Basque Studies,6.4 Arts and music
Arts and Humanities: Celtic Studies,6.4 Arts and music
Arts and Humanities: Classics,6.2 Languages and literature
"Arts and Humanities: Classics: Ancient History, Greek and Roman through Late Antiquity",6.1 History and archaeology
Arts and Humanities: Classics: Ancient Philosophy,6.3 Philosophy ethics and religion
Arts and Humanities: Classics: Byzantine and Modern Greek,6.4 Arts and music
Arts and Humanities: Classics: Classical Archaeology and Art History,6.4 Arts and music
Arts and Humanities: Classics: Classical Literature and Philology,6.2 Languages and literature
Arts and Humanities: Classics: Indo-European Linguistics and Philology,6.2 Languages and literature
Arts and Humanities: Classics: Other Classics,6.4 Arts and music
Arts and Humanities: Comparative Literature,6.2 Languages and literature
Arts and Humanities: Comparative Literature: Translation Studies,6.4 Arts and music
Arts and Humanities: Creative Writing,6.4 Arts and music
Arts and Humanities: Creative Writing: Fiction,6.4 Arts and music
Arts and Humanities: Creative Writing: Nonfiction,6.4 Arts and music
Arts and Humanities: Creative Writing: Poetry,6.4 Arts and music
Arts and Humanities: Digital Humanities,6.4 Arts and music
Arts and Humanities: Dutch Studies,6.4 Arts and music
Arts and Humanities: East Asian Languages and Societies,6.2 Languages and literature
Arts and Humanities: East Asian Languages and Societies: Chinese Studies,6.2 Languages and literature
Arts and Humanities: East Asian Languages and Societies: Japanese Studies,6.2 Languages and literature
Arts and Humanities: East Asian Languages and Societies: Korean Studies,6.4 Arts and music
Arts and Humanities: English Language and Literature,6.2 Languages and literature
Arts and Humanities: English Language and Literature: Children's and Young Adult Literature,6.2 Languages and literature
"Arts and Humanities: English Language and Literature: Literature in English, Anglophone outside British",6.2 Languages and literature
Isles and North America,6.1 History and archaeology
"Arts and Humanities: English Language and Literature: Literature in English, British Isles",6.2 Languages and literature
"Arts and Humanities: English Language and Literature: Literature in English, North America",6.2 Languages and literature
"Arts and Humanities: English Language and Literature: Literature in English, North America, Ethnic and",6.2 Languages and literature
Cultural Minority,6.4 Arts and music
Arts and Humanities: English Language and Literature: Other English Language and Literature,6.2 Languages and literature
Arts and Humanities: European Languages and Societies,6.2 Languages and literature
"Arts and Humanities: Feminist, Gender, and Sexuality Studies",6.4 Arts and music
"Arts and Humanities: Feminist, Gender, and Sexuality Studies: Lesbian, Gay, Bisexual, and Transgender Studies",6.4 Arts and music
"Arts and Humanities: Feminist, Gender, and Sexuality Studies: Women's Studies",6.4 Arts and music
"Arts and Humanities: Feminist, Gender, and Sexuality Studies: Other Feminist, Gender, and Sexuality",6.4 Arts and music
Arts and Humanities: Film and Media Studies,6.4 Arts and music
Arts and Humanities: Film and Media Studies: Film Production,6.4 Arts and music
Arts and Humanities: Film and Media Studies: Screenwriting,6.4 Arts and music
Arts and Humanities: Film and Media Studies: Visual Studies,6.4 Arts and music
Arts and Humanities: Film and Media Studies: Other Film and Media Studies,6.4 Arts and music
Arts and Humanities: Fine Arts,6.4 Arts and music
Arts and Humanities: French and Francophone Language and Literature,6.2 Languages and literature
Arts and Humanities: French and Francophone Language and Literature: French and Francophone,6.2 Languages and literature
Literature,6.2 Languages and literature
Arts and Humanities: French and Francophone Language and Literature: French Linguistics,6.2 Languages and literature
Arts and Humanities: French and Francophone Language and Literature: Other French and Francophone,6.2 Languages and literature
Language and Literature,6.2 Languages and literature
Arts and Humanities: German Language and Literature,6.2 Languages and literature
Arts and Humanities: German Language and Literature: German Linguistics,6.2 Languages and literature
Arts and Humanities: German Language and Literature: German Literature,6.2 Languages and literature
Arts and Humanities: German Language and Literature: Other German Language and Literature,6.2 Languages and literature
Arts and Humanities: History,6.1 History and archaeology
Arts and Humanities: History: African History,6.1 History and archaeology
Arts and Humanities: History: Asian History,6.1 History and archaeology
Arts and Humanities: History: Canadian History,6.1 History and archaeology
Arts and Humanities: History: Cultural History,6.1 History and archaeology
Arts and Humanities: History: Diplomatic History,6.1 History and archaeology
Arts and Humanities: History: European History,6.1 History and archaeology
Arts and Humanities: History: Genealogy,6.1 History and archaeology
Arts and Humanities: History: History of Gender,6.1 History and archaeology
Arts and Humanities: History: History of the Pacific Islands,6.1 History and archaeology
Arts and Humanities: History: History of Religion,6.3 Philosophy ethics and religion
"Arts and Humanities: History: History of Science, Technology, and Medicine",6.1 History and archaeology
Arts and Humanities: History: Holocaust and Genocide Studies,6.1 History and archaeology
Arts and Humanities: History: Intellectual History,6.3 Philosophy ethics and religion
Arts and Humanities: History: Islamic World and Near East History,6.1 History and archaeology
Arts and Humanities: History: Latin American History,6.1 History and archaeology
Arts and Humanities: History: Legal,6.3 Philosophy ethics and religion
Arts and Humanities: History: Medieval History,6.1 History and archaeology
Arts and Humanities: History: Military History,6.1 History and archaeology
Arts and Humanities: History: Oral History,6.1 History and archaeology
Arts and Humanities: History: Political History,6.1 History and archaeology
Arts and Humanities: History: Public History,6.1 History and archaeology
Arts and Humanities: History: Social History,6.1 History and archaeology
Arts and Humanities: History: United States History,6.1 History and archaeology
Arts and Humanities: History: Women's History,6.1 History and archaeology
Arts and Humanities: History: Other History,6.1 History and archaeology
"Arts and Humanities: History of Art, Architecture, and Archaeology",6.1 History and archaeology
"Arts and Humanities: History of Art, Architecture, and Archaeology: American Art and Architecture",6.4 Arts and music
Baroque Art and Architecture,6.4 Arts and music
"Arts and Humanities: History of Art, Architecture, and Archaeology: Asian Art and Architecture",6.4 Arts and music
"Arts and Humanities: History of Art, Architecture, and Archaeology: Contemporary Art",6.4 Arts and music
"Arts and Humanities: History of Art, Architecture, and Archaeology: Modern Art and Architecture",6.4 Arts and music
"Arts and Humanities: History of Art, Architecture, and Archaeology: Theory and Criticism",6.4 Arts and music
"Arts and Humanities: History of Art, Architecture, and Archaeology: Other History of Art, Architecture,and Archaeology",6.4 Arts and music
Arts and Humanities: Italian Language and Literature,6.2 Languages and literature
Arts and Humanities: Italian Language and Literature: Italian Linguistics,6.2 Languages and literature
Arts and Humanities: Italian Language and Literature: Italian Literature,6.2 Languages and literature
Arts and Humanities: Italian Language and Literature: Other Italian Language and Literature,6.2 Languages and literature
Arts and Humanities: Jewish Studies,6.4 Arts and music
Arts and Humanities: Jewish Studies: Yiddish Language and Literature,6.2 Languages and literature
Arts and Humanities: Language Interpretation and Translation,6.2 Languages and literature
Arts and Humanities: Latin American Languages and Societies,6.2 Languages and literature
Arts and Humanities: Latin American Languages and Societies: Caribbean Languages and Societies,6.2 Languages and literature
Arts and Humanities: Medieval Studies,6.4 Arts and music
Arts and Humanities: Modern Languages,6.2 Languages and literature
Arts and Humanities: Modern Literature,6.2 Languages and literature
Arts and Humanities: Museum Studies,6.4 Arts and music
Arts and Humanities: Music,6.4 Arts and music
Arts and Humanities: Music: Composition,6.4 Arts and music
Arts and Humanities: Music: Ethnomusicology,6.4 Arts and music
Arts and Humanities: Music: Music Education,6.4 Arts and music
Arts and Humanities: Music: Music Practice,6.4 Arts and music
Arts and Humanities: Music: Music Theory,6.4 Arts and music
Arts and Humanities: Music: Musicology,6.4 Arts and music
Arts and Humanities: Music: Music Pedagogy,6.4 Arts and music
Arts and Humanities: Music: Music Performance,6.4 Arts and music
Arts and Humanities: Music: Music Therapy,6.4 Arts and music
Arts and Humanities: Music: Other Music,6.4 Arts and music
Arts and Humanities: Near Eastern Languages and Societies,6.2 Languages and literature
Arts and Humanities: Pacific Islands Languages and Societies,6.2 Languages and literature
Arts and Humanities: Pacific Islands Languages and Societies: Hawaiian Studies,6.4 Arts and music
Arts and Humanities: Pacific Islands Languages and Societies: Melanesian Studies,6.4 Arts and music
Arts and Humanities: Pacific Islands Languages and Societies: Micronesian Studies,6.4 Arts and music
